[2025-04-04T05:26:24.986Z] - ACCESS GRANTED | IP:  | PIN: 1234
[2025-04-04T05:59:45.533Z] - ACCESS GRANTED | IP:  | PIN: 1234
[2025-04-04T06:04:56.620Z] - ACCESS GRANTED | IP:  | PIN: 1234
[2025-04-04T06:05:42.827Z] - ACCESS GRANTED | IP:  | PIN: 1234
[2025-04-04T06:12:47.547Z] - ACCESS GRANTED | IP:  | PIN: 5283
[2025-04-04T06:14:33.481Z] - PIN FORZADO (intento inválido) | IP:  | PIN: 1234
[2025-04-04T06:24:07.647Z] - PIN FORZADO (intento inválido) | IP:  | PIN: 1234
[2025-04-04T06:25:01.676Z] - PIN FORZADO (intento inválido) | IP:  | PIN: 1234
[2025-04-04T06:25:06.312Z] - PIN FORZADO (intento inválido) | IP:  | PIN: 1234
[2025-04-04T06:25:10.948Z] - PIN CONGELADO por exceso de intentos | IP:  | PIN: 1234
[2025-04-04T06:26:17.138Z] - ACCESS GRANTED | IP:  | PIN: 7228
